state,count,population
AK,12,736732
AL,93,4849377
AR,88,2966369
AZ,146,6731484
CA,789,38802500
CO,141,5355866
CT,100,3596677
DE,21,935614
FL,402,19893297
GA,199,10097343
HI,28,1419561
IA,96,3107126
ID,44,1634464
IL,320,12880580
IN,139,6596855
KS,96,2904021
KY,117,4413457
LA,128,4649676
MA,197,6745408
MD,105,5976407
ME,43,1330089
MI,204,9909877
MN,149,5457173
MO,226,6063589
MS,64,2994079
MT,31,1023579
NC,199,9943964
ND,30,739482
NE,53,1881503
NH,44,1326813
NJ,173,8938175
NM,52,2085572
NV,53,2839099
NY,481,19746227
OH,383,11594163
OK,149,3878051
OR,99,3970239
PA,406,12787209
RI,24,1055173
SC,113,4832482
SD,31,853175
TN,190,6549352
TX,479,26956958
UT,88,2942902
VA,178,8326289
VT,28,626562
WA,128,7061530
WI,127,5757564
WV,79,1850326
WY,12,584153
